Error results for RHC,
2601.602,590.509
2601.602,590.509
2601.602,590.509
,
Error results for SA,
---------------------------,
3087.398,771.368
3087.398,771.368
3087.763,771.51
3087.763,771.51
3087.763,771.51
3118.521,780.728
3118.521,780.728
3118.789,780.818
3118.789,780.818
3153.443,793.058
3153.443,793.058
3153.443,793.058
3153.443,793.058
3153.443,793.058
3153.443,793.058
3153.443,793.058
3153.443,793.058
3153.443,793.058
3155.583,793.977
3156.423,794.24
3156.415,794.234
3156.415,794.234
3156.44,794.239
3156.44,794.239
3156.44,794.239
3156.44,794.239
3156.44,794.239
3156.44,794.239
3156.44,794.239
3156.44,794.239
3156.44,794.239
3156.44,794.239
3156.549,794.276
3157.309,794.508
3156.895,794.314
3156.895,794.314
3156.895,794.314
3254.708,812.393
3106.095,767.195
3106.095,767.195
3047.025,760.424
3047.025,760.424
3047.025,760.424
3047.025,760.424
3045.86,759.792
3045.86,759.792
3045.487,759.633
3306.257,836.209
3306.257,836.209
3320.575,840.496
3323.455,841.153
3323.455,841.153
3323.177,841.054
3324.621,841.53
3324.621,841.53
3324.621,841.53
3324.621,841.531
3275.537,821.647
3275.537,821.647
3302.057,819.789
3312.284,822.001
3311.649,821.814
3311.649,821.814
3311.649,821.814
3311.649,821.814
3311.649,821.814
3317.704,823.714
3315.505,822.907
3315.505,822.907
3316.324,821.29
3320.434,822.825
3320.434,822.825
3320.504,822.852
3320.504,822.852
3319.779,822.63
3319.497,822.496
3319.497,822.496
3319.497,822.496
3319.497,822.496
3319.497,822.496
3319.497,822.496
3319.067,822.356
3319.067,822.356
3428.557,846.415
3428.659,846.456
3429.702,846.949
3429.702,846.949
3429.702,846.949
3429.705,846.96
3429.705,846.96
3429.705,846.96
3429.705,846.96
3430.202,847.108
3430.202,847.108
3430.202,847.108
3430.202,847.108
3431.251,847.49
2949.684,722.632
2949.684,722.632
2951.71,723.47
2951.71,723.47
2951.041,723.234
2951.041,723.234
2951.667,723.455
3038.806,741.307
3060.549,749.379
3060.549,749.379
3012.015,731.737
3012.022,731.751
3012.022,731.751
3012.015,731.747
3012.015,731.747
3012.005,731.745
3010.482,731.307
3010.475,731.312
3008.732,730.27
3008.627,730.228
3008.627,730.228
3008.615,730.229
3008.615,730.229
3008.615,730.229
2999.796,723.518
2999.796,723.518
2999.796,723.518
2999.214,723.35
2999.214,723.35
2999.214,723.35
2999.214,723.35
2997.192,722.845
2997.192,722.845
3156.453,771.57
3156.453,771.57
3199.035,798.95
3199.035,798.95
3199.035,798.95
3199.035,798.95
3363.117,820.386
3363.075,820.37
3363.075,820.37
3364.07,820.664
3364.07,820.664
3365.482,821.44
3365.482,821.44
3366.442,822.64
3366.442,822.64
3366.442,822.64
3366.526,822.673
3366.526,822.673
3366.526,822.673
3367.057,822.837
3367.057,822.837
3420.71,843.234
3420.71,843.234
3420.832,843.189
3420.832,843.189
3420.895,843.197
3420.895,843.197
3420.895,843.197
3420.895,843.197
3423.4,843.636
3423.4,843.636
3423.4,843.636
3147.798,779.119
3147.798,779.119
3147.798,779.119
3147.798,779.119
3147.767,779.112
3148.919,779.614
3148.919,779.614
3148.919,779.614
3148.919,779.614
3777.521,949.394
3777.521,949.394
3777.521,949.394
3777.521,949.394
3777.521,949.394
3777.521,949.394
3777.521,949.394
3777.521,949.394
3777.505,949.399
3777.505,949.399
3777.505,949.399
3759.229,942.889
3476.275,885.714
3476.275,885.714
3476.275,885.714
4410.303,1125.613
4410.303,1125.613
5437.85,1406.16
5172.237,1318.499
5172.238,1318.499
5172.238,1318.499
5172.238,1318.499
5172.238,1318.499
5172.238,1318.499
5172.238,1318.499
5172.238,1318.499
5172.238,1318.499
5172.238,1318.499
5172.238,1318.499
5172.452,1318.609
5172.846,1318.765
5181.377,1322.917
5181.377,1322.917
5179.46,1322.026
5179.46,1322.026
5179.426,1322.007
5179.426,1322.007
5179.426,1322.007
5179.426,1322.007
5179.403,1322.007
5179.456,1322.039
5179.456,1322.039
5179.484,1322.04
5179.484,1322.04
5180.544,1322.424
5180.544,1322.424
5180.544,1322.424
4608.755,1194.643
4608.755,1194.643
4608.745,1194.643
4608.745,1194.643
3593.217,882.846
3593.222,882.848
3591.427,882.158
3591.427,882.158
3591.428,882.159
3591.428,882.159
3591.421,882.152
3591.421,882.152
3591.421,882.152
3592.522,882.63
3537.452,912.882
3537.452,912.882
3537.452,912.882
3537.452,912.882
3537.128,912.713
3537.128,912.713
3537.128,912.713
3535.264,911.702
3535.487,911.835
3535.487,911.835
3535.486,911.834
3535.486,911.834
3534.109,911.301
3480.686,899.154
3480.686,899.154
3480.598,899.108
3480.598,899.108
3480.598,899.108
3480.598,899.108
3520.347,905.288
3520.347,905.288
3520.57,905.378
3520.57,905.378
3520.57,905.378
3521.263,905.728
3521.218,905.703
3521.194,905.693
3517.844,903.973
3517.844,903.973
3517.739,903.935
3517.739,903.935
3518.087,904.129
3518.087,904.129
3518.087,904.129
3518.087,904.129
3518.087,904.129
3609.203,930.667
3608.927,930.544
3608.927,930.544
3608.734,930.467
3608.734,930.467
3608.734,930.467
3710.389,965.229
3710.389,965.229
3710.389,965.229
3710.389,965.229
3710.389,965.229
3710.391,965.229
3710.346,965.207
4136.857,1059.62
4136.857,1059.62
4136.857,1059.62
4136.857,1059.62
4129.059,1057.61
4127.443,1057.044
4129.437,1057.864
4129.437,1057.864
4129.437,1057.864
4132.867,1059.072
4132.131,1058.716
4125.454,1056.1
4133.12,1059.147
4133.12,1059.147
4133.12,1059.147
4133.12,1059.147
4133.794,1059.379
4133.794,1059.379
4133.794,1059.379
4133.794,1059.379
4133.794,1059.379
4133.794,1059.379
4133.794,1059.379
4136.612,1060.219
4134.426,1059.469
4134.619,1059.543
4134.619,1059.543
4128.227,1057.805
4306.765,1086.94
4306.765,1086.94
4307.2,1087.1
4306.993,1087.013
4306.993,1087.013
4306.993,1087.013
4306.993,1087.013
4307.103,1087.024
4307.103,1087.024
4307.103,1087.024
4307.564,1087.269
4307.579,1087.269
4096.96,1035.644
4096.96,1035.644
4096.96,1035.644
4096.96,1035.644
4098.346,1036.054
4098.346,1036.054
4269.039,1067.765
4269.039,1067.765
4263.152,1065.759
4263.152,1065.759
4263.749,1065.91
4314.672,1073.971
4314.672,1073.971
4314.672,1073.971
3851.563,975.136
3851.563,975.136
3839.336,971.242
3839.336,971.242
3839.336,971.242
3839.336,971.242
3839.336,971.242
3839.336,971.242
3268.058,808.138
3268.058,808.138
3268.058,808.138
3269.248,808.41
3269.248,808.41
3269.248,808.41
3269.248,808.41
3269.248,808.41
3269.248,808.41
3269.028,808.316
3269.028,808.316
3269.041,808.327
3269.041,808.327
3269.041,808.327
3269.041,808.327
3268.09,808.048
3268.09,808.048
3268.088,808.049
3270.837,809.043
3270.837,809.043
3270.837,809.043
3269.77,808.775
3269.77,808.775
3269.77,808.775
3269.713,808.757
3269.713,808.757
3269.713,808.757
3352.118,834.377
3352.118,834.377
3352.118,834.377
3352.118,834.377
3322.691,825.312
3322.691,825.312
3322.691,825.312
3320.415,824.114
3317.127,830.595
3276.337,824.446
3276.337,824.446
3310.621,829.38
3315.115,830.772
3315.115,830.772
3315.116,830.772
3315.116,830.772
3315.116,830.772
3296.872,827.567
3335.079,841.44
3335.132,841.456
3335.113,841.451
3335.113,841.451
3361.82,851.564
3361.82,851.564
3361.841,851.573
3361.841,851.573
3361.863,851.582
3361.863,851.582
3361.863,851.582
3361.873,851.586
3361.873,851.586
3361.907,851.588
3361.478,851.476
3361.478,851.476
3361.478,851.476
3361.478,851.476
3361.646,851.45
3361.646,851.45
3361.646,851.45
3400.589,864.352
3400.394,864.278
7155.015,1805.978
7154.013,1805.656
7152.648,1805.351
7111.405,1791.392
7150.616,1795.461
7150.637,1795.47
7150.637,1795.47
7150.081,1795.213
7151.362,1795.843
7151.319,1795.824
7151.319,1795.824
7151.319,1795.824
7150.866,1795.648
7148.746,1794.44
7148.746,1794.44
7034.483,1720.874
7034.483,1720.874
7034.483,1720.874
6991.226,1684.04
6991.226,1684.04
